user,location,tweet,likes,RT,Source,ID,Date
ToddBohannon,Occupied Duwamish Territory,"“The ⁦@WHO⁩ reported that the highly contagious #Omicron subvariant, #BA2, that is helping to drive another surge o… https://t.co/XymkBUpbF8",1,1,Twitter for iPhone,1507833071340457984,2022-03-26 21:33:13+00:00
ChristineLoriol,"Zürich, Schweiz","RT @etkelley419: 5) #Omicron is “mild” -  you are much less likely to be severely ill or hospitalized

A: Yes, getting Omicron may have “be…",0,56,Twitter for iPhone,1507832932081311745,2022-03-26 21:32:39+00:00
ChristineLoriol,"Zürich, Schweiz","RT @etkelley419: 1) #COVID19  now under control and no longer emergency in #US,  #Europe 

A: #pandemic not “under control” 
Cases up globa…",0,163,Twitter for iPhone,1507832664467910663,2022-03-26 21:31:36+00:00
FortheLOVEofYAH,,"RT @isaias131zx: The 144k and the real objective of the jab https://t.co/4tdfj475eE #LBRY a través de @OdyseeTeam 

#COVID19 #Omicron #Bibl…",0,11,Twitter for Android,1507832492337864710,2022-03-26 21:30:55+00:00
katieswanson_17,,"RT @isaias131zx: The 144k and the real objective of the jab https://t.co/4tdfj475eE #LBRY a través de @OdyseeTeam 

#COVID19 #Omicron #Bibl…",0,11,Twitter for iPhone,1507832266638176258,2022-03-26 21:30:01+00:00
Annamaria_Tu,Schweiz,RT @etkelley419: A: Concern about #LongCOVID should be front &amp; center - especially in children &amp; young adults. Long COVID is like tsunami w…,0,120,Twitter for iPhone,1507831714005008384,2022-03-26 21:27:49+00:00
KeySpeculator,"Laurel Highlands, Pennsylvania",#COVID Article 72 with 17 new charts https://t.co/MhCZC4lGZy #omicron #OMICRON2 #OmicronVariant #omicronba2… https://t.co/xYkNfoVUfb,0,0,Twitter Web App,1507831478784303111,2022-03-26 21:26:53+00:00
missbonekitty,"Hell, TN USA","RT @PReydt: #Omicron #BA2 wave begins its assault on the United States
These assessments are based on the current wave of #COVID19 infectio…",0,5,Twitter for Android,1507831353835929605,2022-03-26 21:26:23+00:00
nathaliepiat,Paris-London & planet Earth 🌍,"RT @FLAHAULT: 2/9 - “The rapid spread of a highly infectious version of the #Omicron coronavirus variant, known as BA.2. The strain has tak…",0,3,Twitter for iPhone,1507830294971355146,2022-03-26 21:22:11+00:00
DrCemilSulusolu,İstanbul,RT @calirunnerdoc: My brother is mentally handicapped and lives in a group home.Was just told by his coordinator that #Omicron killed more…,0,29,Twitter for iPhone,1507830126968512518,2022-03-26 21:21:31+00:00
lujanis2ryl,"New Mexico, USA",RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter for Android,1507829607952621569,2022-03-26 21:19:27+00:00
ElizaWallace27,"Orange County, CA",RT @calirunnerdoc: My brother is mentally handicapped and lives in a group home.Was just told by his coordinator that #Omicron killed more…,0,29,Twitter for iPad,1507829412858716162,2022-03-26 21:18:40+00:00
AndreasPhilip5,,RT @DrEricDing: 17) UPDATE— Denmark’s CDC says BA2 subvariant of #Omicron is about ~1.5 times more contagious than BA1 (original Omicron).…,0,515,Twitter for Android,1507829367816306688,2022-03-26 21:18:30+00:00
karen95957388,"Syosset, NY",RT @catladyactivist: Like this tweet if you think there should be a class action lawsuit brought against the CDC over their guidance to ret…,0,21,Twitter for iPhone,1507829201126277121,2022-03-26 21:17:50+00:00
Annamaria_Tu,Schweiz,"RT @etkelley419: 5) #Omicron is “mild” -  you are much less likely to be severely ill or hospitalized

A: Yes, getting Omicron may have “be…",0,56,Twitter for iPhone,1507828987069935620,2022-03-26 21:16:59+00:00
Annamaria_Tu,Schweiz,"RT @etkelley419: 4) #Omicron is “mild” even if you are unvaccinated

A: You are 70% less likely to die from Omicron
However, same chance of…",0,80,Twitter for iPhone,1507828972826017793,2022-03-26 21:16:55+00:00
allfacts_matter,,"Can We Just Let Go Of Pandemic Panic Now?

There are nine times as many spare beds nationwide as there are COVID ca… https://t.co/9NZsVDKmMt",0,0,Twitter for Android,1507828774208954383,2022-03-26 21:16:08+00:00
